--- Stage 1 Parameters ---
R_ohm,1.146257e-01
L_ind,0.000000e+00
--- Stage 2 Peak Parameters ---
Peak_1_R,1.002651e-01
Peak_1_C,2.169556e-01
Peak_1_frequency,7.316433e+00
Peak_2_R,1.002651e-01
Peak_2_C,6.672118e+00
Peak_2_frequency,2.379066e-01
Peak_3_R,1.002651e-01
Peak_3_C,2.051902e+02
Peak_3_frequency,7.735949e-03

--- Frequency-Time Domain Peak Fitting Curves Block ---
tau (s),ln(tau),gamma_raw,gamma_fitted_total,gamma_peak_1,gamma_peak_2,gamma_peak_3
5.950699e+00,1.783509e+00,1.088455e-03,1.622431e-02,1.035085e-12,1.197723e-03,1.502659e-02
6.344582e+00,1.847601e+00,1.311333e-03,1.791891e-02,5.882004e-13,9.592021e-04,1.695970e-02
6.764537e+00,1.911694e+00,1.567976e-03,1.978231e-02,3.321139e-13,7.632665e-04,1.901905e-02
7.212288e+00,1.975786e+00,1.858012e-03,2.179545e-02,1.863207e-13,6.034687e-04,2.119198e-02
7.689677e+00,2.039879e+00,2.181477e-03,2.393618e-02,1.038599e-13,4.740736e-04,2.346211e-02
8.198665e+00,2.103971e+00,2.538306e-03,2.617926e-02,5.752372e-14,3.700405e-04,2.580922e-02
8.741343e+00,2.168064e+00,2.927974e-03,2.849648e-02,3.165619e-14,2.869890e-04,2.820949e-02
9.319941e+00,2.232156e+00,3.349371e-03,3.085687e-02,1.730943e-14,2.211534e-04,3.063571e-02
9.936838e+00,2.296249e+00,3.801117e-03,3.322708e-02,9.404143e-15,1.693303e-04,3.305775e-02
1.059457e+01,2.360341e+00,4.281455e-03,3.557187e-02,5.076545e-15,1.288214e-04,3.544305e-02
1.129583e+01,2.424434e+00,4.788214e-03,3.785471e-02,2.722888e-15,9.737643e-05,3.775733e-02
1.204352e+01,2.488526e+00,5.318911e-03,4.003852e-02,1.451121e-15,7.313617e-05,3.996538e-02
1.284069e+01,2.552619e+00,5.870659e-03,4.208649e-02,7.684051e-16,5.457868e-05,4.203191e-02
1.369063e+01,2.616711e+00,6.440347e-03,4.396294e-02,4.042864e-16,4.046936e-05,4.392247e-02
1.459682e+01,2.680804e+00,7.024390e-03,4.563423e-02,2.113492e-16,2.981550e-05,4.560442e-02
1.556300e+01,2.744896e+00,7.618931e-03,4.706965e-02,1.097803e-16,2.182581e-05,4.704782e-02
1.659313e+01,2.808989e+00,8.219886e-03,4.824225e-02,5.665794e-17,1.587490e-05,4.822637e-02
1.769145e+01,2.873081e+00,8.822826e-03,4.912964e-02,2.905425e-17,1.147266e-05,4.911817e-02
1.886246e+01,2.937174e+00,9.423213e-03,4.971462e-02,1.480372e-17,8.238153e-06,4.970638e-02
2.011099e+01,3.001266e+00,1.001624e-02,4.998569e-02,7.494535e-18,5.877708e-06,4.997982e-02
2.144216e+01,3.065359e+00,1.059726e-02,4.993739e-02,3.769910e-18,4.166761e-06,4.993323e-02
2.286144e+01,3.129451e+00,1.116140e-02,4.957044e-02,1.884211e-18,2.934957e-06,4.956751e-02
2.437466e+01,3.193544e+00,1.170376e-02,4.889171e-02,9.357091e-19,2.054079e-06,4.888966e-02
2.598804e+01,3.257637e+00,1.221997e-02,4.791399e-02,4.617049e-19,1.428385e-06,4.791256e-02
2.770822e+01,3.321729e+00,1.270547e-02,4.665556e-02,2.263605e-19,9.869287e-07,4.665458e-02
2.954225e+01,3.385822e+00,1.315585e-02,4.513964e-02,1.102679e-19,6.775460e-07,4.513896e-02
3.149768e+01,3.449914e+00,1.356725e-02,4.339363e-02,5.337162e-20,4.621726e-07,4.339317e-02
3.358255e+01,3.514007e+00,1.393636e-02,4.144832e-02,2.566752e-20,3.132435e-07,4.144801e-02
3.580541e+01,3.578099e+00,1.425951e-02,3.933696e-02,1.226507e-20,2.109466e-07,3.933675e-02
3.817541e+01,3.642192e+00,1.453348e-02,3.709431e-02,5.823291e-21,1.411482e-07,3.709417e-02
4.070228e+01,3.706284e+00,1.475685e-02,3.475574e-02,2.747132e-21,9.384060e-08,3.475565e-02
4.339640e+01,3.770377e+00,1.492708e-02,3.235627e-02,1.287665e-21,6.198956e-08,3.235620e-02
4.626886e+01,3.834469e+00,1.504127e-02,2.992973e-02,5.997067e-22,4.068730e-08,2.992969e-02
4.933144e+01,3.898562e+00,1.509983e-02,2.750805e-02,2.775155e-22,2.653455e-08,2.750802e-02
5.259674e+01,3.962654e+00,1.510258e-02,2.512056e-02,1.275993e-22,1.719400e-08,2.512054e-02
5.607817e+01,4.026747e+00,1.504599e-02,2.279351e-02,5.829369e-23,1.107018e-08,2.279350e-02
5.979004e+01,4.090839e+00,1.493092e-02,2.054971e-02,2.646107e-23,7.081819e-09,2.054971e-02
6.374761e+01,4.154932e+00,1.476190e-02,1.840826e-02,1.193454e-23,4.501399e-09,1.840826e-02
6.796713e+01,4.219024e+00,1.453440e-02,1.638446e-02,5.348309e-24,2.842907e-09,1.638446e-02
7.246594e+01,4.283117e+00,1.424585e-02,1.448986e-02,2.381440e-24,1.783981e-09,1.448986e-02
7.726254e+01,4.347209e+00,1.390794e-02,1.273235e-02,1.053599e-24,1.112322e-09,1.273235e-02
8.237662e+01,4.411302e+00,1.351878e-02,1.111643e-02,4.631521e-25,6.891010e-10,1.111643e-02
8.782922e+01,4.475394e+00,1.306474e-02,9.643505e-03,2.022946e-25,4.241778e-10,9.643505e-03
9.364272e+01,4.539487e+00,1.256331e-02,8.312215e-03,8.779252e-26,2.594331e-10,8.312215e-03
9.984103e+01,4.603579e+00,1.202810e-02,7.118871e-03,3.785673e-26,1.576578e-10,7.118871e-03
1.064496e+02,4.667672e+00,1.142551e-02,6.057842e-03,1.621964e-26,9.519583e-11,6.057842e-03
1.134956e+02,4.731764e+00,1.076402e-02,5.121973e-03,6.904811e-27,5.711272e-11,5.121973e-03
1.210080e+02,4.795857e+00,1.009758e-02,4.302977e-03,2.920619e-27,3.404554e-11,4.302977e-03
1.290177e+02,4.859949e+00,9.377143e-03,3.591809e-03,1.227469e-27,2.016509e-11,3.591809e-03
1.375575e+02,4.924042e+00,8.557283e-03,2.978996e-03,5.125761e-28,1.186732e-11,2.978996e-03
1.466625e+02,4.988134e+00,7.757267e-03,2.454930e-03,2.126762e-28,6.939327e-12,2.454930e-03
1.563703e+02,5.052227e+00,6.969445e-03,2.010115e-03,8.767823e-29,4.031760e-12,2.010115e-03
1.667206e+02,5.116319e+00,6.010329e-03,1.635366e-03,3.591511e-29,2.327472e-12,1.635366e-03
1.777560e+02,5.180412e+00,5.020652e-03,1.321970e-03,1.461757e-29,1.335017e-12,1.321970e-03
1.895219e+02,5.244504e+00,4.214169e-03,1.061795e-03,5.911334e-30,7.608541e-13,1.061795e-03
2.020665e+02,5.308597e+00,3.258580e-03,8.473684e-04,2.375244e-30,4.308525e-13,8.473684e-04
2.154415e+02,5.372689e+00,1.946202e-03,6.719180e-04,9.482954e-31,2.424199e-13,6.719180e-04
2.297018e+02,5.436782e+00,7.910793e-04,5.293864e-04,3.761763e-31,1.355253e-13,5.293864e-04
2.449060e+02,5.500874e+00,2.058554e-04,4.144210e-04,1.482695e-31,7.528095e-14,4.144210e-04
2.611166e+02,5.564967e+00,3.339970e-05,3.223467e-04,5.806634e-32,4.154915e-14,3.223467e-04
2.784001e+02,5.629059e+00,3.340860e-06,2.491249e-04,2.259486e-32,2.278514e-14,2.491249e-04
2.968277e+02,5.693152e+00,2.050196e-07,1.913038e-04,8.735894e-33,1.241520e-14,1.913038e-04
3.164751e+02,5.757244e+00,7.702562e-09,1.459629e-04,3.355966e-33,6.721533e-15,1.459629e-04
3.374229e+02,5.821337e+00,1.770016e-10,1.106557e-04,1.280973e-33,3.615724e-15,1.106557e-04
3.597572e+02,5.885429e+00,2.486831e-12,8.335232e-05,4.858198e-34,1.932568e-15,8.335232e-05
3.835699e+02,5.949522e+00,2.135825e-14,6.238411e-05,1.830724e-34,1.026329e-15,6.238411e-05
4.089588e+02,6.013614e+00,1.121249e-16,4.639196e-05,6.854612e-35,5.415657e-16,4.639196e-05
4.360282e+02,6.077707e+00,3.597830e-19,3.427867e-05,2.550090e-35,2.839410e-16,3.427867e-05
4.648894e+02,6.141799e+00,7.056267e-22,2.516621e-05,9.426282e-36,1.479168e-16,2.516621e-05
4.956609e+02,6.205892e+00,8.458676e-25,1.835794e-05,3.462086e-36,7.656306e-17,1.835794e-05
5.284692e+02,6.269984e+00,6.197571e-28,1.330585e-05,1.263420e-36,3.937618e-17,1.330585e-05
5.634491e+02,6.334077e+00,2.775440e-31,9.582389e-06,4.581106e-37,2.012150e-17,9.582389e-06
6.007444e+02,6.398170e+00,7.596845e-35,6.856736e-06,1.650461e-37,1.021644e-17,6.856736e-06
